ID02HISP,IHIKG,IMPUTATION FLAG KINDERGARTEN STUDENTS – HISPANIC
ID02BLK,IBLKG,IMPUTATION FLAG KINDERGARTEN STUDENTS – BLACK
ID02WHT,IWHKG,IMPUTATION FLAG KINDERGARTEN STUDENTS – WHITE
ID03AMIN,IAM01,IMPUTATION FLAG GRADE 1 STUDENTS – AM. INDIAN
ID03ASIN,IAS01,IMPUTATION FLAG GRADE 1 STUDENTS – ASIAN
ID03HISP,IHI01,IMPUTATION FLAG GRADE 1 STUDENTS – HISPANIC
ID03BLK,IBL01,IMPUTATION FLAG GRADE 1 STUDENTS – BLACK
ID03WHT,IWH01,IMPUTATION FLAG GRADE 1 STUDENTS – WHITE
ID04AMIN,IAM02,IMPUTATION FLAG GRADE 2 STUDENTS – AM. INDIAN
ID04ASIN,IAS02,IMPUTATION FLAG GRADE 2 STUDENTS – ASIAN
ID04HISP,IHI02,IMPUTATION FLAG GRADE 2 STUDENTS – HISPANIC
ID04BLK,IBL02,IMPUTATION FLAG GRADE 2 STUDENTS – BLACK
ID04WHT,IWH02,IMPUTATION FLAG GRADE 2 STUDENTS – WHITE
ID05AMIN,IAM03,IMPUTATION FLAG GRADE 3 STUDENTS – AM. INDIAN
ID05ASIN,IAS03,IMPUTATION FLAG GRADE 3 STUDENTS – ASIAN
ID05HISP,IHI03,IMPUTATION FLAG GRADE 3 STUDENTS – HISPANIC
ID05BLK,IBL03,IMPUTATION FLAG GRADE 3 STUDENTS – BLACK
ID05WHT,IWH03,IMPUTATION FLAG GRADE 3 STUDENTS – WHITE
ID06AMIN,IAM04,IMPUTATION FLAG GRADE 4 STUDENTS – AM. INDIAN
ID06ASIN,IAS04,IMPUTATION FLAG GRADE 4 STUDENTS – ASIAN
ID06HISP,IHI04,IMPUTATION FLAG GRADE 4 STUDENTS – HISPANIC
ID06BLK,IBL04,IMPUTATION FLAG GRADE 4 STUDENTS – BLACK
ID06WHT,IWH04,IMPUTATION FLAG GRADE 4 STUDENTS – WHITE
ID07AMIN,IAM05,IMPUTATION FLAG GRADE 5 STUDENTS – AM. INDIAN
ID07ASIN,IAS05,IMPUTATION FLAG GRADE 5 STUDENTS – ASIAN
ID07HISP,IHI05,IMPUTATION FLAG GRADE 5 STUDENTS – HISPANIC
ID07BLK,IBL05,IMPUTATION FLAG GRADE 5 STUDENTS – BLACK
ID07WHT,IWH05,IMPUTATION FLAG GRADE 5 STUDENTS – WHITE
ID08AMIN,IAM06,IMPUTATION FLAG GRADE 6 STUDENTS – AM. INDIAN
ID08ASIN,IAS06,IMPUTATION FLAG GRADE 6 STUDENTS – ASIAN
ID08HISP,IHI06,IMPUTATION FLAG GRADE 6 STUDENTS – HISPANIC
ID08BLK,IBL06,IMPUTATION FLAG GRADE 6 STUDENTS – BLACK
ID08WHT,IWH06,IMPUTATION FLAG GRADE 6 STUDENTS – WHITE
ID09AMIN,IAM07,IMPUTATION FLAG GRADE 7 STUDENTS – AM. INDIAN
ID09ASIN,IAS07,IMPUTATION FLAG GRADE 7 STUDENTS – ASIAN
ID09HISP,IHI07,IMPUTATION FLAG GRADE 7 STUDENTS – HISPANIC
ID09BLK,IBL07,IMPUTATION FLAG GRADE 7 STUDENTS – BLACK
ID09WHT,IWH07,IMPUTATION FLAG GRADE 7 STUDENTS – WHITE
ID10AMIN,IAM08,IMPUTATION FLAG GRADE 8 STUDENTS – AM. INDIAN
ID10ASIN,IAS08,IMPUTATION FLAG GRADE 8 STUDENTS – ASIAN
ID10HISP,IHI08,IMPUTATION FLAG GRADE 8 STUDENTS – HISPANIC
ID10BLK,IBL08,IMPUTATION FLAG GRADE 8 STUDENTS – BLACK
ID10WHT,IWH08,IMPUTATION FLAG GRADE 8 STUDENTS – WHITE
ID11AMIN,IAM09,IMPUTATION FLAG GRADE 9 STUDENTS – AM. INDIAN
ID11ASIN,IAS09,IMPUTATION FLAG GRADE 9 STUDENTS – ASIAN
ID11HISP,IHI09,IMPUTATION FLAG GRADE 9 STUDENTS – HISPANIC
ID11BLK,IBL09,IMPUTATION FLAG GRADE 9 STUDENTS – BLACK
